OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
63264,BOSTON COMMON AND PUBLIC GARDEN PROTECTION AREA,Midtown Cultural,1A,38,Mixed Use,Midtown Cultural BOSTON COMMON AND PUBLIC GARDEN PROTECTION AREA,8,0,0,Protection Area
63265,BOSTON COMMON AND PUBLIC GARDEN PROTECTION AREA,Midtown Cultural,1A,38,Mixed Use,Midtown Cultural BOSTON COMMON AND PUBLIC GARDEN PROTECTION AREA,8,0,0,Protection Area
63266,NS,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood NS,2,0,0,Neighborhood Shopping
63267,CC,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood CC,3,0,0,Community Commercial
63268,MFR/LS,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63269,3F-2000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 3F-2000,1,0,0,Three-Family Residential
63270,OS-G,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-G,,0,0,Community Garden Open Space
63271,OS-RC,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-RC,,0,0,Recreation Open Space
63272,NS,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood NS,2,0,0,Neighborhood Shopping
63273,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63274,NEW ENGLAND BAPTIST IS,Mission Hill Neighborhood,6D,59,Comm/Instit,Mission Hill Neighborhood NEW ENGLAND BAPTIST IS,2,0,0,Institutional
63275,3F-2000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 3F-2000,1,0,0,Three-Family Residential
63276,RH,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood RH,1,0,0,Row House Residential
63277,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63278,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63279,2F-3000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 2F-3000,0.9,0,0,Two-Family Residential
63280,MFR-2,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-2,2,0,0,Multifamily Residential
63281,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63282,NS,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood NS,2,0,0,Neighborhood Shopping
63283,MFR-2,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-2,2,0,0,Multifamily Residential
63284,RH,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood RH,1,0,0,Row House Residential
63285,OS-UW,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-UW,,0,0,Urban Wild Open Space
63286,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63287,2F-3000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 2F-3000,0.9,0,0,Two-Family Residential
63288,MASS MENTAL HEALTH CENTER IS,Mission Hill Neighborhood,6D,59,Comm/Instit,Mission Hill Neighborhood MASS MENTAL HEALTH CENTER IS,2,0,0,Institutional
63289,3F-2000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 3F-2000,1,0,0,Three-Family Residential
63290,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63291,LI,Mission Hill Neighborhood,6D,59,Industrial,Mission Hill Neighborhood LI,2,0,0,Local Industrial
63292,2F-5000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 2F-5000,0.6,0,0,Two-Family Residential
63293,2F-3000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 2F-3000,0.9,0,0,Two-Family Residential
63294,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63295,OS-G,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-G,,0,0,Community Garden Open Space
63296,ALLEGHANY CF,Mission Hill Neighborhood,6D,59,Comm/Instit,Mission Hill Neighborhood ALLEGHANY CF,2,0,0,Community Facilities
63297,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63298,OS-RC,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-RC,,0,0,Recreation Open Space
63299,TREMONT CF,Mission Hill Neighborhood,6D,59,Comm/Instit,Mission Hill Neighborhood TREMONT CF,3,0,0,Community Facilities
63300,TREMONT CF,Mission Hill Neighborhood,6D,59,Comm/Instit,Mission Hill Neighborhood TREMONT CF,3,0,0,Community Facilities
63301,OS-RC,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-RC,,0,0,Recreation Open Space
63302,RH,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood RH,1,0,0,Row House Residential
63303,NS,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood NS,2,0,0,Neighborhood Shopping
63304,CPS,Mission Hill Neighborhood,6D,59,Miscellaneous,Mission Hill Neighborhood CPS,0.3,0,0,Conservation Protection
63305,RH,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood RH,1,0,0,Row House Residential
63306,LI,Mission Hill Neighborhood,6D,59,Industrial,Mission Hill Neighborhood LI,2,0,0,Local Industrial
63307,NS,Mission Hill Neighborhood,6D,59,Business,Mission Hill Neighborhood NS,2,0,0,Neighborhood Shopping
63308,3F-2000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 3F-2000,1,0,0,Three-Family Residential
63309,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63310,3F-3000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 3F-3000,0.8,0,0,Three-Family Residential
63311,OS-P,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-P,,0,0,Parkland Open Space
63312,OS-P,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-P,,0,0,Parkland Open Space
63313,2F-4000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 2F-4000,0.7,0,0,Two-Family Residential
63314,2F-4000,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood 2F-4000,0.7,0,0,Two-Family Residential
63315,OS-RC,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-RC,,0,0,Recreation Open Space
63316,MFR/LS,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
63317,LI,Mission Hill Neighborhood,6D,59,Industrial,Mission Hill Neighborhood LI,2,0,0,Local Industrial
63318,OS-A,Mission Hill Neighborhood,6D,59,Open Space,Mission Hill Neighborhood OS-A,,0,0,Air-Right Open Space
63319,WENTWORTH INSTITUTE IS,Mission Hill Neighborhood,6D,59,Comm/Instit,Mission Hill Neighborhood WENTWORTH INSTITUTE IS,2,0,0,Institutional
63320,MFR-3,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-3,3,0,0,Multifamily Residential
63321,MFR-1,Mission Hill Neighborhood,6D,59,Residential,Mission Hill Neighborhood MFR-1,3,0,0,Multifamily Residential
63322,CUSTOM HOUSE MEDIUM DENSITY AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets CUSTOM HOUSE MEDIUM DENSITY AREA,10,0,0,Medium Density Area
63323,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63324,OLD STATE HOUSE PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets OLD STATE HOUSE PROTECTION AREA,4,0,0,Protection Area
63325,SALTONSTALL PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets STALTONSTALL PROTECTION AREA,3,0,0,Protection Area
63326,OS-P,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-P,,0,0,Parkland Open Space
63327,OS-CM,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-CM,,0,0,Cemetery Open Space
63328,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63329,PEMBERTON SQUARE PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets PEMBERTON SQUARE PROTECTION AREA,8,0,0,Protection Area
63330,NEW CHARDON STREET MEDIUM DENSITY AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets NEW CHARDON STREET MEDIUM DENSITY AREA,10,0,0,Medium Density Area
63331,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63332,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63333,CONGRESS/STATE STREET MEDIUM DENSITY AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets CONGRESS/STATE STREET MEDIUM DENSITY AREA,10,0,0,Medium Density Area
63334,CITY HALL MEDIUM DENSITY AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets CITY HALL MEDIUM DENSITY AREA,10,0,0,Medium Density Area
63335,SEARS CRESCENT PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets SEARS CRESCENT PROTECTION AREA,4,0,0,Protection Area
63336,STATE STREET PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets STATE STREET PROTECTION AREA,8,0,0,Protection Area
63337,BLACKSTONE BLOCK PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets BLACKSTONE BLOCK PROTECTION AREA,3,0,0,Protection Area
63338,BLACKSTONE BLOCK PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets BLACKSTONE BLOCK PROTECTION AREA,3,0,0,Protection Area
63339,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63340,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63341,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63342,OS-UP,Government Center/Markets,1H,45,Open Space,Government Center/Markets OS-UP,,0,0,Urban Plaza Open Space
63343,STATE HOUSE PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets STATE HOUSE PROTECTION AREA,4,0,0,Protection Area
63344,SUDBURY STREET RESTRICTED GROWTH AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets SUDBURY STREET RESTRICTED GROWTH AREA,7,0,0,Restricted Growth Area
63345,CITY HALL MEDIUM DENSITY AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets CITY HALL MEDIUM DENSITY AREA,10,0,0,Medium Density Area
63346,PEMBERTON SQUARE PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets PEMBERTON SQUARE PROTECTION AREA,8,0,0,Protection Area
63347,CONGRESS/STATE STREET MEDIUM DENSITY AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets CONGRESS/STATE STREET MEDIUM DENSITY AREA,10,0,0,Medium Density Area
63348,MARKETS PROTECTION AREA,Government Center/Markets,1H,45,Mixed Use,Government Center/Markets MARKETS PROTECTION AREA,4,0,0,Protection Area
63349,NEW ECONOMY DEVELOPMENT AREA,North Station Economic Development Area,1B,39,Mixed Use,North Station Economic Development Area NEW ECONOMY DEVELOPMENT AREA,10,0,0,Economic Development Area
63350,GENERAL AREA,North Station Economic Development Area,1B,39,Mixed Use,North Station Economic Development Area GENERAL AREA,10,0,0,General Area
63351,NEW BOSTON GARDEN DEVELOPMENT AREA,North Station Economic Development Area,1B,39,Mixed Use,North Station Economic Development Area NEW BOSTON GARDEN DEVELOPMENT AREA,11,0,0,New Boston Garden Development Area
63352,OS-A,North Station Economic Development Area,1B,39,Open Space,North Station Economic Development Area OS-A,,0,0,Air-Right Open Space
63353,GENERAL AREA,North Station Economic Development Area,1B,39,Mixed Use,North Station Economic Development Area GENERAL AREA,10,0,0,General Area
63354,GENERAL AREA,North Station Economic Development Area,1B,39,Mixed Use,North Station Economic Development Area GENERAL AREA,10,0,0,General Area
63355,OS,North Station Economic Development Area,1B,39,Open Space,North Station Economic Development Area OS,,0,0,Open Space
63356,OS-RC,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-RC,,0,0,Recreation Open Space
63357,MFR/LS,North End Neighborhood,1B/1J/1K/1L,54,Residential,North End Neighborhood MFR/LS,3,0,0,Multifamily Residential/Local Services
63358,OS-CM,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-CM,,0,0,Cemetery Open Space
63359,OS-P,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-P,,0,0,Parkland Open Space
63360,HANOVER CC,North End Neighborhood,1B/1J/1K/1L,54,Business,North End Neighborhood HANOVER CC,3,0,0,Community Commercial
63361,SALEM ST NS,North End Neighborhood,1B/1J/1K/1L,54,Business,North End Neighborhood SALEM ST NS,3,0,0,Neighborhood Shopping
63362,MFR/LS,North End Neighborhood,1B/1J/1K/1L,54,Residential,North End Neighborhood MFR/LS,3,0,0,Multifamily Residential/Local Services
63363,MFR/LS,North End Neighborhood,1B/1J/1K/1L,54,Residential,North End Neighborhood MFR/LS,3,0,0,Multifamily Residential/Local Services
63364,OS-RC,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-RC,,0,0,Recreation Open Space
63365,NORTH WASHINGTON ST CC,North End Neighborhood,1B/1J/1K/1L,54,Business,North End Neighborhood NORTH WASHINGTON ST CC,3,0,0,Community Commercial
63366,MFR/LS,North End Neighborhood,1B/1J/1K/1L,54,Residential,North End Neighborhood MFR/LS,3,0,0,Multifamily Residential/Local Services
63367,WATERFRONT NS,North End Neighborhood,1B/1J/1K/1L,54,Business,North End Neighborhood WATERFRONT NS,3,0,0,Neighborhood Shopping
63368,COMMERCIAL WHARF NS,North End Neighborhood,1B/1J/1K/1L,54,Business,North End Neighborhood COMMERCIAL WHARF NS,3,0,0,Neighborhood Shopping
63369,MERCANTILE NS,North End Neighborhood,1B/1J/1K/1L,54,Business,North End Neighborhood MERCANTILE NS,3,0,0,Neighborhood Shopping
63370,OS-UP,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63371,OS-RC,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-RC,,0,0,Recreation Open Space
63372,OS-UP,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63373,OS-P,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-P,,0,0,Parkland Open Space
63374,OS-RC,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-RC,,0,0,Recreation Open Space
63375,OS-RC,North End Neighborhood,1B/1J/1K/1L,54,Open Space,North End Neighborhood OS-RC,,0,0,Recreation Open Space
63376,MFR,North End Neighborhood,1B/1J/1K/1L,54,Residential,North End Neighborhood MFR,3,0,0,Multifamily Residential
63377,4,Central Artery Special,1Xa-1Xb,49,Mixed Use,Central Artery Special 4,,0,0,Central Artery Area
63378,ST GERMAIN STREET PROTECTION AREA,Huntington Avenue/Prudential Center,1D,41,Mixed Use,Huntington Avenue/Prudential Center ST GERMAIN STREET PROTECTION AREA,2,0,0,Protection Area
63379,OS-A,Huntington Avenue/Prudential Center,1D,41,Open Space,Huntington Avenue/Prudential Center OS-A,,0,0,Air-Right Open Space
63380,CHRISTIAN SCIENCE INSTITUTIONAL AREA,Huntington Avenue/Prudential Center,1D,41,Comm/Instit,Huntington Avenue/Prudential Center CHRISTIAN SCIENCE INSTITUTIONAL AREA,2,0,0,Institutional
63381,MASSACHUSETTS AVENUE/BELVIDERE STREET PROTECTION AREA,Huntington Avenue/Prudential Center,1D,41,Mixed Use,Huntington Avenue/Prudential Center MASSACHUSETTS AVENUE/BELVIDERE STREET PROTECTION AREA,4,0,0,Protection Area
63382,ST BOTOLPH STREET PROTECTION AREA,Huntington Avenue/Prudential Center,1D,41,Mixed Use,Huntington Avenue/Prudential Center ST BOTOLPH STREET PROTECTION AREA,2,0,0,Protection Area
63383,ST CECILIA SPECIAL STUDY AREA,Huntington Avenue/Prudential Center,1D,41,Mixed Use,Huntington Avenue/Prudential Center ST CECILIA SPECIAL STUDY AREA,7,0,0,Special Study Area
63384,GENERAL AREA,Huntington Avenue/Prudential Center,1D,41,Mixed Use,Huntington Avenue/Prudential Center GENERAL AREA,10,0,0,General Area
63385,HUNTINGTON AVENUE BOULEVARD AREA,Huntington Avenue/Prudential Center,1D,41,Mixed Use,Huntington Avenue/Prudential Center HUNTINGTON AVENUE BOULEVARD AREA,8,0,0,Huntington Avenue Boulevard Area
63386,GENERAL AREA,Harborpark: Fort Point Waterfront,4A/4B,42E,Mixed Use,Harborpark: Fort Point Waterfront GENERAL AREA,4.25,0,0,General Area
63387,WATERFRONT TRANSITION ZONE,Harborpark: Fort Point Waterfront,4A/4B,42E,Business,Harborpark: Fort Point Waterfront WATERFRONT TRANSITION ZONE,3,0,0,Waterfront Transition Zone
63388,NORTHERN AVENUE TRANSITION ZONE,Harborpark: Fort Point Waterfront,4A/4B,42E,Business,Harborpark: Fort Point Waterfront NORTHERN AVENUE TRANSITION ZONE,4.25,0,0,Transition Zone
63389,WATERFRONT TRANSITION ZONE,Harborpark: Fort Point Waterfront,4A/4B,42E,Business,Harborpark: Fort Point Waterfront WATERFRONT TRANSITION ZONE,3,0,0,Waterfront Transition Zone
63390,BOSTON WHARF TRANSITION ZONE,Harborpark: Fort Point Waterfront,4A/4B,42E,Business,Harborpark: Fort Point Waterfront BOSTON WHARF TRANSITION ZONE,4,0,0,Transition Zone
63391,MFR-2,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-2,4,0,0,Multifamily Residential
63392,MFR-1,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-1,4,0,0,Multifamily Residential
63393,MFR-1,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-1,4,0,0,Multifamily Residential
63394,IS,Fenway Neighborhood,1Q,66,Comm/Instit,Fenway Neighborhood IS,8,0,0,Institutional
63395,MFR-2,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-2,4,0,0,Multifamily Residential
63396,MFR-2,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-2,4,0,0,Multifamily Residential
63397,Mass Ave NS-1,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood Mass Ave NS-1,4,0,0,Neighborhood Shopping
63398,Mass Ave NS-2,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood Mass Ave NS-2,5,0,0,Neighborhood Shopping
63399,CUF,Fenway Neighborhood,1Q,66,Comm/Instit,Fenway Neighborhood CUF,4,0,0,Cultural Facilities
63400,MFR/LS,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR/LS,4,0,0,Multifamily Residential/Local Services
63401,OS-UP,Fenway Neighborhood,1Q,66,Open Space,Fenway Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63402,Westland Ave NS-1,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood Westland Ave NS-1,4,0,0,Neighborhood Shopping
63403,OS-P,Fenway Neighborhood,1Q,66,Open Space,Fenway Neighborhood OS-P,,0,0,Parkland Open Space
63404,OS-RC,Fenway Neighborhood,1Q,66,Open Space,Fenway Neighborhood OS-RC,,0,0,Recreation Open Space
63405,IS,Fenway Neighborhood,1Q,66,Comm/Instit,Fenway Neighborhood IS,4,0,0,Institutional
63406,MFR/LS,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR/LS,4,0,0,Multifamily Residential/Local Services
63407,OS-G,Fenway Neighborhood,1Q,66,Open Space,Fenway Neighborhood OS-G,,0,0,Community Garden Open Space
63408,NI,Fenway Neighborhood,1Q,66,Comm/Instit,Fenway Neighborhood NI,4,0,0,Neighborhood Institutional
63409,NI,Fenway Neighborhood,1Q,66,Comm/Instit,Fenway Neighborhood NI,4,0,0,Neighborhood Institutional
63410,MFR-1,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-1,4,0,0,Multifamily Residential
63411,Huntington Ave NS-2,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood Huntington Ave NS-2,5,0,0,Neighborhood Shopping
63412,MFR/LS,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR/LS,4,0,0,Multifamily Residential/Local Services
63413,Mass Ave NS-2,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood Mass Ave NS-2,5,0,0,Neighborhood Shopping
63414,NI,Fenway Neighborhood,1Q,66,Comm/Instit,Fenway Neighborhood NI,4,0,0,Neighborhood Institutional
63415,MFR-1,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-1,4,0,0,Multifamily Residential
63416,MFR-2,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-2,4,0,0,Multifamily Residential
63417,SOUTH BOYLSTON NS-1,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood South Boylston NS-1,4,0,0,Neighborhood Shopping
63418,Fenway Triangle NDA,Fenway Neighborhood,1Q,66,Mixed Use,Fenway Neighborhood Fenway Triangle NDA,5,0,0,Neighborhood Development Area
63419,Brookline Ave CC,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood Brookline Ave CC,4,0,0,Community Commercial
63420,North Boylston NS-2,Fenway Neighborhood,1Q,66,Business,Fenway Neighborhood North Boylston NS-2,5,0,0,Neighborhood Shopping
63421,MFR-1,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-1,4,0,0,Multifamily Residential
63422,CUF,Fenway Neighborhood,1Q,66,Comm/Instit,Fenway Neighborhood CUF,4,0,0,Cultural Facilities
63423,MFR/LS,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR/LS,4,0,0,Multifamily Residential/Local Services
63424,MFR/LS,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR/LS,4,0,0,Multifamily Residential/Local Services
63425,OS-P,Fenway Neighborhood,1Q,66,Open Space,Fenway Neighborhood OS-P,,0,0,Parkland Open Space
63426,MFR/LS,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR/LS,4,0,0,Multifamily Residential/Local Services
63427,MFR-2,Fenway Neighborhood,1Q,66,Residential,Fenway Neighborhood MFR-2,4,0,0,Multifamily Residential
63428,OS-P,Fenway Neighborhood,1Q,66,Open Space,Fenway Neighborhood OS-P,,0,0,Parkland Open Space
63429,OS-UP,Fenway Neighborhood,1Q,66,Open Space,Fenway Neighborhood OS-UP,,0,0,Urban Plaza Open Space
63430,B-8-120c,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8-120c,8,0,0,General Business
63431,B-8,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8,8,0,0,General Business
63432,B-2,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-2,2,0,0,General Business
63433,B-4,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-4,4,0,0,General Business
63434,H-2,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-2,2,0,0,Apartment Residential
63435,H-4,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-4,4,0,0,Apartment Residential
63436,H-3,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-3,3,0,0,Apartment Residential
63437,OS,Boston Proper,1,Underlying Zoning,Open Space,Boston Proper OS,,0,0,Open Space
63438,H-3-65,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-3-65,3,0,0,Apartment Residential
63439,H-5,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-5,5,0,0,Apartment Residential
63440,B-8,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8,8,0,0,General Business
63441,B-3-65,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-3-65,3,0,0,General Business
63442,L-2-65,Boston Proper,1,Underlying Zoning,Business,Boston Proper L-2-65,2,0,0,Local Business
63443,H-2-65,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-2-65,2,0,0,Apartment Residential
63444,B-6-90a,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-6-90a,6,0,0,General Business
63445,B-8-120a,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8-120a,8,0,0,General Business
63446,H-1,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-1,1,0,0,Apartment Residential
63447,H-1,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-1,1,0,0,Apartment Residential
63448,H-3,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-3,3,0,0,Apartment Residential
63449,OS,Boston Proper,1,Underlying Zoning,Open Space,Boston Proper OS,,0,0,Open Space
63450,B-8-120c,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8-120c,8,0,0,General Business
63451,B-8,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8,8,0,0,General Business
63452,B-6-90b,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-6-90b,6,0,0,General Business
63453,B-8-120c,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8-120c,8,0,0,General Business
63454,L-2,Boston Proper,1,Underlying Zoning,Business,Boston Proper L-2,2,0,0,Local Business
63455,B-8-120b,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-8-120b,8,0,0,General Business
63456,B-2,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-2,2,0,0,General Business
63457,H-2,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-2,2,0,0,Apartment Residential
63458,OS,Boston Proper,1,Underlying Zoning,Open Space,Boston Proper OS,,0,0,Open Space
63459,H-3,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-3,3,0,0,Apartment Residential
63460,H-2-65,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-2-65,2,0,0,Apartment Residential
63461,B-4,Boston Proper,1,Underlying Zoning,Business,Boston Proper B-4,4,0,0,General Business
63462,H-1,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-1,1,0,0,Apartment Residential
63463,H-4,Boston Proper,1,Underlying Zoning,Residential,Boston Proper H-4,4,0,0,Apartment Residential
63464,DANA FARBER CANCER INTITUTE IS,Boston Proper,1,Underlying Zoning,Comm/Instit,Boston Proper DANA FARBER CANCER INTITUTE IS,4,0,0,Institutional
63465,NE DEACONESS HOSPITAL INSTITUTIONAL DISTRICT,Boston Proper,1,Underlying Zoning,Comm/Instit,Boston Proper NE DEACONESS HOSPITAL INSTITUTIONAL DISTRICT,4,0,0,Institutional
63466,BETH ISRAEL HOSPITAL INSTITUTIONAL DISTRICT,Boston Proper,1,Underlying Zoning,Comm/Instit,Boston Proper BETH ISRAEL HOSPITAL INSTITUTIONAL DISTRICT,4,0,0,Institutional
63467,L-1,Boston Proper,1,Underlying Zoning,Business,Boston Proper L-1,1,0,0,Local Business
