OBJECTID,ZONE_,DISTRICT,MAPNO,ARTICLE,SUBDISTRIC,Unique_Code,FAR,Shape_STArea__,Shape_STLength__,Zone_Desc
62754,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62755,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62756,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62757,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62758,ROXBURY HERITAGE  STATE PARK CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood ROXBURY HERITAGE  STATE PARK CF,2,0,0,Community Facilities
62759,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62760,RH,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood RH,1,0,0,Row House Residential
62761,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62762,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62763,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62764,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62765,NEW MARKET IDA,Roxbury Neighborhood,6A-6C,50,Industrial,Roxbury Neighborhood NEW MARKET IDA,2,0,0,Industrial Development Area
62766,OS-G,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-G,,0,0,Community Garden Open Space
62767,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
62768,OS-A,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-A,,0,0,Air-Right Open Space
62769,GREATER ROXBURY EDA,Roxbury Neighborhood,6A-6C,50,Mixed Use,Roxbury Neighborhood GREATER ROXBURY EDA,2,0,0,Economic Development Area
62770,MFR,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR,1,0,0,Multifamily Residential
62771,CAMPUS HIGH CF,Roxbury Neighborhood,6A-6C,50,Comm/Instit,Roxbury Neighborhood CAMPUS HIGH CF,2,0,0,Community Facilities
62772,MFR/LS,Roxbury Neighborhood,6A-6C,50,Residential,Roxbury Neighborhood MFR/LS,1,0,0,Multifamily Residential/Local Services
62773,OS-RC,Roxbury Neighborhood,6A-6C,50,Open Space,Roxbury Neighborhood OS-RC,,0,0,Recreation Open Space
